13433, 19981
13575, 19981
13592, 19981
13609, 19981
13626, 19981
13643, 19981
13802, 19981
13961, 19981
14206, 19981
14279, 19981
14296, 19981
14313, 19981
14330, 19981
14347, 19981
14471, 19981
14595, 19981
14629, 19981
14719, 19981
14843, 19981
15052, 19981
15475, 19981
15898, 19981
15915, 19981
15932, 19981
15949, 19981
15966, 19981

(13433, 19981)
(13575, 19981)
(13592, 19981)
(13609, 19981)
(13626, 19981)
(13643, 19981)
(13802, 19981)
(14206, 19981)
(14296, 19981)
(14313, 19981)
(14330, 19981)
(14347, 19981)
(14471, 19981)
(14595, 19981)
(14629, 19981)
(14719, 19981)
(14843, 19981)
(15966, 19981)
